Drink,DrinkThumb,Glass,Ingredient1,Ingredient10,Ingredient11,Ingredient12,Ingredient13,Ingredient14,Ingredient15,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Ingredient7,Ingredient8,Ingredient9,Instructions,Description,unit1,combined1,unit2,combined2,unit3,combined3,unit4,combined4,unit5,combined5,unit6,combined6,unit7,combined7,unit8,combined8,unit9,combined9,unit10,combined10,unit11,combined11,unit12,combined12,unit13,combined13,unit14,combined14,unit15,combined15
After Five,Http://www.thecocktaildb.com/images/media/drink/sk3lr91493068595.jpg,Shot Glass,Peppermint Schnapps,,,,,,,Kahlua,Bailey's Irish Cream,,,,,,,"1. Pour Kahlua into shot glass to about 1/2 full. 2. Using a spoon(inverted), slowly pour in the Peppermint Schnapps until glass is about 3/4 full. Done correctly, the Schnapps will flow under the Kahlua for a clear layer. 3. Again using a spoon, but this time right side up, slowly top off the glass with a layer of Bailey's. Be careful to place the spoon right at the top of the Kahlua layer and to raise it as the glass fills up. Done correctly, this will provide a layer of Bailey's floating over the Kahlua. 4. Toss it down all at once for something like a Peppermint Pattie, WITH A BANG!!! NOTE: Best if all ingredients are chilled","After Five: A delightful cocktail that transitions seamlessly from day to night, offering a mix of flavors to savor.",, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
After Supper Cocktail,Http://www.thecocktaildb.com/images/media/drink/quyxwu1483387610.jpg,Cocktail Glass,Triple Sec,,,,,,,Apricot Brandy,Lemon Juice,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",After Supper Cocktail: A soothing cocktail to unwind with after a satisfying meal.,ml,30,ml,30,ml,2.5,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
After Sex,Http://www.thecocktaildb.com/images/media/drink/xrl66i1493068702.jpg,Highball Glass,Vodka,,,,,,,Creme De Banane,Orange Juice,,,,,,,Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar,After sex: A seductive cocktail that blends flavors to create a sensual experience.,ml,20,ml,10,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Afterglow,Http://www.thecocktaildb.com/images/media/drink/vuquyv1468876052.jpg,Highball Glass,Grenadine,,,,,,,Orange Juice,Pineapple Juice,,,,,,,Mix. Serve over ice.,"Afterglow: A visually stunning cocktail with a tropical flair, radiating vibrant colors.",part, 1,part, 4,part, 4,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Afternoon,Http://www.thecocktaildb.com/images/media/drink/vyrurp1472667777.jpg,Collins Glass,Kahlua,,,,,,,Bailey's Irish Cream,Frangelico,Coffee,Cream,,,,,"Build into a suiting glass, with no ice. Cream on top if wanted. Served directly.",Afternoon: A light and refreshing cocktail that is perfect for enjoying on a lazy afternoon.,ml,10,ml,10,ml,30,ml,40,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Alabama Slammer,Http://www.thecocktaildb.com/images/media/drink/qtwxwr1483387647.jpg,Highball Glass,Southern Comfort,,,,,,,Amaretto,Sloe Gin,Lemon Juice,,,,,,"Pour all ingredients (except for lemon juice) over ice in a highball glass. Stir, add a dash of lemon juice, and serve.",Alabama Slammer: A fruity and flavorful cocktail that captures the essence of the South.,ml,30,ml,30,ml,15,ml,1,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Alaska Cocktail,Http://www.thecocktaildb.com/images/media/drink/wsyryt1483387720.jpg,Cocktail Glass,Orange Bitters,,,,,,,Gin,Yellow Chartreuse,Lemon Peel,,,,,,"Stir all ingredients with ice, strain contents into a cocktail glass. Drop in a twist of lemon and serve.",Alaska Cocktail: A sophisticated cocktail featuring gin and a touch of herbal liqueur.,ml,2,ml,45,ml,22.5,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Alexander,Http://www.thecocktaildb.com/images/media/drink/urystu1478253039.jpg,Cocktail Glass,Gin,,,,,,,Creme De Cacao,Light Cream,Nutmeg,,,,,,Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,Alexander: A creamy and indulgent cocktail with a hint of sweetness.,ml,15,ml,15,ml,60,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Alfie Cocktail,Http://www.thecocktaildb.com/images/media/drink/ypxsqy1483387829.jpg,Cocktail Glass,Lemon Vodka,,,,,,,Triple Sec,Pineapple Juice,,,,,,,"Combine and shake all ingredients with ice, strain into a cocktail glass, and serve.","Alfie Cocktail: A classic cocktail with a twist, named after a beloved character.",ml,45,ml,1,ml,15,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Algonquin,Http://www.thecocktaildb.com/images/media/drink/uwryxx1483387873.jpg,Cocktail Glass,Blended Whiskey,,,,,,,Dry Vermouth,Pineapple Juice,,,,,,,"Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve.","Algonquin: A cocktail that combines whiskey, vermouth, and pineapple juice for a unique taste.",ml,45,ml,30,ml,30,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Alice Cocktail,Http://www.thecocktaildb.com/images/media/drink/qyqtpv1468876144.jpg,Cocktail Glass,Grenadine,,,,,,,Orange Juice,Pineapple Juice,Cream,,,,,,"Shake well, strain into a large cocktail glass.","Alice Cocktail: A whimsical cocktail inspired by the famous literary character, offering a delightful blend of flavors.",ml,10,ml,10,ml,20,ml,40,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Alice In Wonderland,Http://www.thecocktaildb.com/images/media/drink/g12lj41493069391.jpg,Collins Glass,Amaretto,,,,,,,Grand Marnier,Southern Comfort,,,,,,,Just mix the three ingredients one to one to one,Alice in Wonderland: An enchanting cocktail that takes you on a journey through flavor Wonderland.,ml,30,ml,30,ml,30,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Allegheny,Http://www.thecocktaildb.com/images/media/drink/uwvyts1483387934.jpg,Cocktail Glass,Dry Vermouth,,,,,,,Bourbon,Blackberry Brandy,Lemon Juice,Lemon Peel,,,,,Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.,"Allegheny: A cocktail with a bold and robust flavor profile, perfect for those who enjoy stronger drinks.",ml,30,ml,30,ml,7.5,ml,7.5,twist of , 1,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Allies Cocktail,Http://www.thecocktaildb.com/images/media/drink/qvprvp1483388104.jpg,Cocktail Glass,Dry Vermouth,,,,,,,Gin,Kummel,,,,,,,"Stir all ingredients with ice, strain contents into a cocktail glass, and serve.",Allies Cocktail: A harmonious blend of flavors that come together in a delightful cocktail.,ml,30,ml,30,ml,2.5,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Almeria,Http://www.thecocktaildb.com/images/media/drink/rwsyyu1483388181.jpg,Cocktail Glass,Dark Rum,,,,,,,Kahlua,Egg White,,,,,,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Almeria: A Mediterranean-inspired cocktail that transports you to the sunny shores of Almeria.,ml,60,ml,30,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Almond Chocolate Coffee,Http://www.thecocktaildb.com/images/media/drink/jls02c1493069441.jpg,Coffee Mug,Amaretto,,,,,,,Dark Creme De Cacao,Coffee,,,,,,,Pour in order into coffee cup. Top with whipped creme and chocolate shcvings.,"Almond Chocolate Coffee: A decadent blend of flavors, combining almond, chocolate, and coffee.",ml,22.5,ml,15,ml,240,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Almond Joy,Http://www.thecocktaildb.com/images/media/drink/xutuqs1483388296.jpg,Cocktail Glass,Amaretto,,,,,,,Creme De Cacao,Light Cream,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Almond Joy: A delightful cocktail that captures the essence of the popular candy bar.,ml,15,ml,15,ml,60,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Aloha Fruit Punch,Http://www.thecocktaildb.com/images/media/drink/wsyvrt1468876267.jpg,Collins Glass,Water,,,,,,,Ginger,Guava Juice,Lemon Juice,Pineapple,Sugar,Pineapple Juice,,,"Add 1/4 cup water to ginger root. Boil 3 minutes. Strain. Add the liquid to the guava, lemon and pineapple juices. Make a syrup of sugar and remaining water. Cool. Combine with juices and pineapple. Chill throroughly.",Aloha Fruit punch: A tropical and refreshing punch that brings the taste of aloha to your glass.,ml,180,ml,10,ml,480,ml,22.5,ml,360,ml,240,ml,960,, ,, ,, ,, ,, ,, ,, ,, 
Amaretto And Cream,Http://www.thecocktaildb.com/images/media/drink/dj8n0r1504375018.jpg,Cocktail Glass,Amaretto,,,,,,,Light Cream,,,,,,,,"Shake well with cracked ice, strain contents into a cocktail glass, and serve.",Amaretto And Cream: A creamy and nutty cocktail that showcases the delicious flavor of amaretto liqueur.,ml,45,ml,45,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Amaretto Liqueur,Http://www.thecocktaildb.com/images/media/drink/swqxuv1472719649.jpg,Collins Glass,Sugar,Food Coloring,Glycerine,,,,,Water,Apricot,Almond Flavoring,Grain Alcohol,Water,Brandy,Food Coloring,Food Coloring,"Combine sugar and 3/4 cup water in a small saucepan. Bring to a boil, stirring constantly. Reduce heat and simmer until all sugar is dissolved. Remove from heat and cool. In an aging container, combine apricot halves, almond extract, grain alcohol with 1/2 cup water, and brandy. Stir in cooled sugar syrup mixture. Cap and let age for 2 days. Remove apricot halves. (Save apricot halves, can be used for cooking). Add food coloring and glycerine. Stir, recap and continue aging for 1 to 2 months. Re-bottle as desired. Liqueur is ready to serve but will continue to improve with additional aging.",Amaretto Liqueur: A versatile liqueur that adds a hint of sweetness and nuttiness to your favorite cocktails.,ml,240,ml,180,, ,ml,15,ml,120,ml,120,ml,240,ml,3,ml,6,ml,2,ml,2.5,, ,, ,, ,, 
Amaretto Mist,Http://www.thecocktaildb.com/images/media/drink/utpxxq1483388370.jpg,Old-fashioned Glass,Amaretto,,,,,,,Lime,,,,,,,,"Pour amaretto in an old-fashioned glass over crushed ice. Add the wedge of lime and serve. (A wedge of lemon may be substituted for lime, if preferred.)",Amaretto Mist: A light and refreshing cocktail that showcases the delicate flavors of amaretto.,ml,45,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Amaretto Rose,Http://www.thecocktaildb.com/images/media/drink/3jm41q1493069578.jpg,Collins Glass,Amaretto,,,,,,,Lime Juice,Club Soda,,,,,,,Pour amaretto and lime juice over ice in a collins glass. Fill with club soda and serve.,Amaretto Rose: A romantic and elegant cocktail that combines the floral notes of rose with the richness of amaretto.,ml,45,ml,15,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Amaretto Shake,Http://www.thecocktaildb.com/images/media/drink/xk79al1493069655.jpg,Collins Glass,Chocolate Ice-cream,,,,,,,Brandy,Amaretto,,,,,,,Combine all ingredients in a blender and blend at high speed until smooth. Serve in chilled glass garnished with bittersweet chocolate shavings.,Amaretto Shake: A creamy and indulgent shake that highlights the luscious flavor of amaretto.,ml,100,ml,60,ml,60,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Amaretto Sour,Http://www.thecocktaildb.com/images/media/drink/xnzc541493070211.jpg,Collins Glass,Amaretto,,,,,,,Sour Mix,,,,,,,,Shake and strain. Garnish with a cherry and an orange slice.,"Amaretto Sour: A classic sour cocktail with a twist of amaretto, offering a perfect balance of sweet and sour.",ml,45,ml,90,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Amaretto Stinger,Http://www.thecocktaildb.com/images/media/drink/vvop4w1493069934.jpg,Cocktail Glass,Amaretto,,,,,,,White Creme De Menthe,,,,,,,,"Shake ingredients well with cracked ice, strain into a cocktail glass, and serve.",Amaretto Stinger: A sophisticated cocktail that pairs amaretto with a touch of mint for a refreshing finish.,ml,45,ml,22.5,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Amaretto Stone Sour,Http://www.thecocktaildb.com/images/media/drink/xwryyx1472719921.jpg,Collins Glass,Amaretto,,,,,,,Sour Mix,Orange Juice,,,,,,,Shake and Serve over ice,Amaretto Stone Sour: A delightful and tangy cocktail that combines the flavors of amaretto and citrus.,part, 1,part, 1,part, 1,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Amaretto Stone Sour #3,Http://www.thecocktaildb.com/images/media/drink/wutxqr1472720012.jpg,Highball Glass,Sour Mix,,,,,,,Amaretto,Tequila,Orange Juice,,,,,,"Shake sour mix, tequila and amaretto with ice. Strain into highball glass. Add a splash of OJ. Garnish with orange slice and a cherry.","Amaretto Stone Sour #3: A refreshing blend of amaretto liqueur, orange juice, and sour mix.",ml,60,ml,60,ml,60,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Amaretto Sunrise,Http://www.thecocktaildb.com/images/media/drink/akcpsh1493070267.jpg,Collins Glass,Amaretto,,,,,,,Orange Juice,Grenadine,,,,,,,Mix together the amaretto and orange juice. Pour into glass and then add the grenadine untill you see the sunrise.,"Amaretto Sunrise: A vibrant cocktail made with amaretto liqueur, orange juice, and grenadine, creating a beautiful sunrise effect.",ml,10,ml,120,ml,2.5,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Amaretto Sunset,Http://www.thecocktaildb.com/images/media/drink/apictz1493069760.jpg,Collins Glass,Triple Sec,,,,,,,Amaretto,Cider,Ice,,,,,,"Shake ingredients in bartender's mixer quickly, just 5 shakes. Strain out ice, serve in glass immediately with a slice of orange.","Amaretto Sunset: A delightful combination of amaretto liqueur, orange juice, and cranberry juice, resulting in a lovely sunset hue.",ml,15,ml,90,ml,120,ml,120,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Amaretto Sweet & Sour,Http://www.thecocktaildb.com/images/media/drink/vswwus1472668546.jpg,Margarita/coupette Glass,Amaretto,,,,,,,Sweet And Sour,Midori Melon Liqueur,Pineapple Juice,,,,,,"Fill the blender with 3/4 ice. Add sweet & sour mix to the top of the ice. Add about 1"" of pineapple juice, 1/2"" of melon liqeur, and 1/2 to 1/4"" of amaretto. Then blend the mix until it is of margaritta consistency or thinner.","Amaretto Sweet & Sour: A balanced mix of amaretto liqueur and sweet and sour mix, offering a tangy and sweet flavor profile.",, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Amaretto Tea,Http://www.thecocktaildb.com/images/media/drink/b7qzo21493070167.jpg,Pousse Cafe Glass,Tea,,,,,,,Amaretto,Whipped Cream,,,,,,,"Pour hot tea into a pousse-cafe glass, using a spoon in glass to prevent cracking. Add amaretto, but do not stir. Top with chilled whipped cream and serve.","Amaretto Tea: A warm and soothing beverage that combines amaretto liqueur with hot tea, perfect for relaxation and comfort.",ml,180,ml,60,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Americano,Http://www.thecocktaildb.com/images/media/drink/trwruu1478253126.jpg,Collins Glass,Campari,,,,,,,Sweet Vermouth,Lemon Peel,Orange Peel,,,,,,"Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice.","Americano: A classic cocktail made with Campari, sweet vermouth, and club soda, known for its bittersweet taste.",ml,30,ml,30,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Angel Face,Http://www.thecocktaildb.com/images/media/drink/vqpptp1478253178.jpg,Cocktail Glass,Apricot Brandy,,,,,,,Apple Brandy,Gin,,,,,,,Shake all ingredients with ice and strain contents into a cocktail glass.,"Angel Face: A sophisticated blend of gin, apricot brandy, and apple brandy, creating a heavenly and aromatic cocktail.",ml,15,ml,15,ml,30,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Angelica Liqueur,Http://www.thecocktaildb.com/images/media/drink/yuurps1472667672.jpg,Collins Glass,Angelica Root,Water,Food Coloring,Food Coloring,,,,Almond,Allspice,Cinnamon,Anise,Coriander,Marjoram Leaves,Vodka,Sugar,"Combine all herbs, nuts and spices with vodka in a 1 quart or larger aging container. Cap tightly and shake daily for 2 weeks. Strain through a fine muslin cloth or coffee filter, discarding solids. Clean out aging container. Place liquid back in container. Place sugar and water in saucepan and stir to combine over medium heat. When sugar is completely dissolved, set aside and let cool. When cool combine with food coloring and add to liqueur liquid. Cap and allow to age and mellow in a cool, dark place for one month.","Angelica Liqueur: A unique liqueur made from the Angelica herb, featuring a herbal and floral flavor profile.",ml,45,ml,15,cracked , 1,one-inch , 1,crushed , 6,ml,0.625,ml,15,ml,1200,ml,120,ml,60,ml,1,ml,1,, ,, ,, 
Apello,Http://www.thecocktaildb.com/images/media/drink/uptxtv1468876415.jpg,Collins Glass,Orange Juice,,,,,,,Grapefruit Juice,Apple Juice,Maraschino Cherry,,,,,,Stirr. Grnish with maraschino cherry.,"Apello: A refreshing and fruity cocktail that combines vodka, orange juice, and passion fruit juice, providing a tropical taste.",ml,40,ml,30,ml,10,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Apple Berry Smoothie,Http://www.thecocktaildb.com/images/media/drink/xwqvur1468876473.jpg,Highball Glass,Berries,,,,,,,Apple,,,,,,,,Throw everything into a blender and liquify.,"Apple Berry Smoothie: A luscious and creamy smoothie made with apples, mixed berries, and yogurt, offering a healthy and fruity treat.",ml,240,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Apple Cider Punch #1,Http://www.thecocktaildb.com/images/media/drink/xrqxuv1454513218.jpg,Collins Glass,Apple Cider,,,,,,,Brown Sugar,Lemonade,Orange Juice,Cloves,Allspice,Nutmeg,Cinnamon,,"If you use the whole all spice and cloves, tie them in cheesecloth. Heat the mixture. Stir occasionally. If you want an alcoholic drink, rum would be nice.","Apple Cider Punch #1: A seasonal punch featuring apple cider, ginger ale, and a splash of lemon juice, perfect for autumn gatherings.",ml,3800,ml,240,ml,180,ml,180,whole , 6,whole , 6,ml,5,sticks , 3,, ,, ,, ,, ,, ,, ,, 
Apple Grande,Http://www.thecocktaildb.com/images/media/drink/wqrptx1472668622.jpg,Punch Bowl,Tequila,,,,,,,Apple Cider,,,,,,,,Chill both ingredients!! Mix in a tumbler and enjoy!,"Apple Grande: An indulgent cocktail made with apple brandy, Grand Marnier, and lemon juice, delivering a rich and citrusy taste.",ml,90,ml,360,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Apple Karate,Http://www.thecocktaildb.com/images/media/drink/syusvw1468876634.jpg,Highball Glass,Apple Juice,,,,,,,Carrot,,,,,,,,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.","Apple Karate: A zesty blend of apple brandy, lime juice, and orange liqueur, providing a vibrant and energizing kick.",ml,480,large , 1,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Apple Pie With A Crust,Http://www.thecocktaildb.com/images/media/drink/qspqxt1472720078.jpg,Collins Glass,Apple Juice,,,,,,,Malibu Rum,Cinnamon,,,,,,,Just mix the two liquids and sprinkle in the cinnamon. Serve either cold or heated.,"Apple Pie with A Crust: A dessert-inspired cocktail that combines apple schnapps, cinnamon schnapps, and vanilla vodka, reminiscent of freshly baked apple pie.",part, 3,part, 1,ml,3,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Apple Slammer,Http://www.thecocktaildb.com/images/media/drink/09yd5f1493069852.jpg,Shot Glass,7-up,,,,,,,Apple Schnapps,,,,,,,,"pour into a shot glass and present to consumer, they are expected to cover the top of the shotglass with thier palm, raise the glass, slam it on the bar and the swallow quickly.","Apple Slammer: A fun and fizzy concoction made with apple schnapps, vodka, and lemon-lime soda, creating a vibrant and invigorating drink.",part, 1,part, 1,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Applecar,Http://www.thecocktaildb.com/images/media/drink/sbffau1504389764.jpg,Cocktail Glass,Applejack,,,,,,,Triple Sec,Lemon Juice,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","Applecar: A sophisticated cocktail featuring apple brandy, lemon juice, and simple syrup, offering a balanced and refreshing taste.",ml,30,ml,30,ml,30,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Applejack,Http://www.thecocktaildb.com/images/media/drink/sutyqp1479209062.jpg,Cocktail Glass,Jack Daniels,,,,,,,Midori Melon Liqueur,Sour Mix,,,,,,,"Add all ingredients into mixing glass, chill and strain into cocktail glass","Applejack: A classic cocktail made with apple brandy, grenadine, and lemon juice, known for its fruity and tangy flavor.",ml,30,ml,15,ml,60,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
Apricot Lady,Http://www.thecocktaildb.com/images/media/drink/146f251504389814.jpg,Old-fashioned Glass,Light Rum,,,,,,,Apricot Brandy,Triple Sec,Lemon Juice,Egg White,Orange,,,,"In a shaker half-filled with ice cubes, combine the rum, apricot brandy, triple sec, lemon juice, and egg white. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. Garnish with the orange slice.","Apricot Lady: A delightful blend of apricot brandy, gin, and lemon juice, creating a sweet and citrusy cocktail.",ml,45,ml,30,ml,5,ml,15,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,, 
