Drink,DrinkThumb,Glass,Ingredient1,Ingredient10,Ingredient11,Ingredient12,Ingredient13,Ingredient14,Ingredient15,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Ingredient7,Ingredient8,Ingredient9,Instructions,Measure1,Measure10,Measure11,Measure12,Measure13,Measure14,Measure15,Measure2,Measure3,Measure4,Measure5,Measure6,Measure7,Measure8,Measure9,Description
Alabama Slammer,Http://www.thecocktaildb.com/images/media/drink/qtwxwr1483387647.jpg,Highball Glass,Southern Comfort,,,,,,,Amaretto,Sloe Gin,Lemon Juice,,,,,,"Pour all ingredients (except for lemon juice) over ice in a highball glass. Stir, add a dash of lemon juice, and serve.",1 oz ,,,,,,,1 oz ,1/2 oz ,1 dash ,,,,,,Alabama Slammer: A fruity and flavorful cocktail that captures the essence of the South.
Alaska Cocktail,Http://www.thecocktaildb.com/images/media/drink/wsyryt1483387720.jpg,Cocktail Glass,Orange Bitters,,,,,,,Gin,Yellow Chartreuse,Lemon Peel,,,,,,"Stir all ingredients with ice, strain contents into a cocktail glass. Drop in a twist of lemon and serve.",2 dashes ,,,,,,,1 1/2 oz ,3/4 oz ,Twist of ,,,,,,Alaska Cocktail: A sophisticated cocktail featuring gin and a touch of herbal liqueur.
Alexander,Http://www.thecocktaildb.com/images/media/drink/urystu1478253039.jpg,Cocktail Glass,Gin,,,,,,,Creme De Cacao,Light Cream,Nutmeg,,,,,,Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,1/2 oz ,,,,,,,1/2 oz white ,2 oz ,,,,,,,Alexander: A creamy and indulgent cocktail with a hint of sweetness.
Alfie Cocktail,Http://www.thecocktaildb.com/images/media/drink/ypxsqy1483387829.jpg,Cocktail Glass,Lemon Vodka,,,,,,,Triple Sec,Pineapple Juice,,,,,,,"Combine and shake all ingredients with ice, strain into a cocktail glass, and serve.",1 1/2 oz ,,,,,,,1 dash ,1 tblsp ,,,,,,,"Alfie Cocktail: A classic cocktail with a twist, named after a beloved character."
Algonquin,Http://www.thecocktaildb.com/images/media/drink/uwryxx1483387873.jpg,Cocktail Glass,Blended Whiskey,,,,,,,Dry Vermouth,Pineapple Juice,,,,,,,"Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve.",1 1/2 oz ,,,,,,,1 oz ,1 oz ,,,,,,,"Algonquin: A cocktail that combines whiskey, vermouth, and pineapple juice for a unique taste."
Alice Cocktail,Http://www.thecocktaildb.com/images/media/drink/qyqtpv1468876144.jpg,Cocktail Glass,Grenadine,,,,,,,Orange Juice,Pineapple Juice,Cream,,,,,,"Shake well, strain into a large cocktail glass.",1 cl ,,,,,,,1 cl ,2 cl ,4 cl ,,,,,,"Alice Cocktail: A whimsical cocktail inspired by the famous literary character, offering a delightful blend of flavors."
Alice In Wonderland,Http://www.thecocktaildb.com/images/media/drink/g12lj41493069391.jpg,Collins Glass,Amaretto,,,,,,,Grand Marnier,Southern Comfort,,,,,,,Just mix the three ingredients one to one to one,1 shot ,,,,,,,1 shot ,1 shot ,,,,,,,Alice in Wonderland: An enchanting cocktail that takes you on a journey through flavor Wonderland.
Allegheny,Http://www.thecocktaildb.com/images/media/drink/uwvyts1483387934.jpg,Cocktail Glass,Dry Vermouth,,,,,,,Bourbon,Blackberry Brandy,Lemon Juice,Lemon Peel,,,,,Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.,1 oz ,,,,,,,1 oz ,1 1/2 tsp ,1 1/2 tsp ,1 twist of ,,,,,"Allegheny: A cocktail with a bold and robust flavor profile, perfect for those who enjoy stronger drinks."
Allies Cocktail,Http://www.thecocktaildb.com/images/media/drink/qvprvp1483388104.jpg,Cocktail Glass,Dry Vermouth,,,,,,,Gin,Kummel,,,,,,,"Stir all ingredients with ice, strain contents into a cocktail glass, and serve.",1 oz ,,,,,,,1 oz ,1/2 tsp ,,,,,,,Allies Cocktail: A harmonious blend of flavors that come together in a delightful cocktail.
Almeria,Http://www.thecocktaildb.com/images/media/drink/rwsyyu1483388181.jpg,Cocktail Glass,Dark Rum,,,,,,,Kahlua,Egg White,,,,,,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",2 oz ,,,,,,,1 oz ,1 ,,,,,,,Almeria: A Mediterranean-inspired cocktail that transports you to the sunny shores of Almeria.
Almond Chocolate Coffee,Http://www.thecocktaildb.com/images/media/drink/jls02c1493069441.jpg,Coffee Mug,Amaretto,,,,,,,Dark Creme De Cacao,Coffee,,,,,,,Pour in order into coffee cup. Top with whipped creme and chocolate shcvings.,3/4 oz ,,,,,,,1/2 oz ,8 oz ,,,,,,,"Almond Chocolate Coffee: A decadent blend of flavors, combining almond, chocolate, and coffee."
Almond Joy,Http://www.thecocktaildb.com/images/media/drink/xutuqs1483388296.jpg,Cocktail Glass,Amaretto,,,,,,,Creme De Cacao,Light Cream,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",1/2 oz ,,,,,,,1/2 oz white ,2 oz ,,,,,,,Almond Joy: A delightful cocktail that captures the essence of the popular candy bar.
Aloha Fruit Punch,Http://www.thecocktaildb.com/images/media/drink/wsyvrt1468876267.jpg,Collins Glass,Water,,,,,,,Ginger,Guava Juice,Lemon Juice,Pineapple,Sugar,Pineapple Juice,,,"Add 1/4 cup water to ginger root. Boil 3 minutes. Strain. Add the liquid to the guava, lemon and pineapple juices. Make a syrup of sugar and remaining water. Cool. Combine with juices and pineapple. Chill throroughly.",3/4 cup ,,,,,,,2 tsp ,2 cups ,1 1/2 tblsp ,1 1/2 cup ,1 cup ,3-4 cups ,,,Aloha Fruit punch: A tropical and refreshing punch that brings the taste of aloha to your glass.
Amaretto And Cream,Http://www.thecocktaildb.com/images/media/drink/dj8n0r1504375018.jpg,Cocktail Glass,Amaretto,,,,,,,Light Cream,,,,,,,,"Shake well with cracked ice, strain contents into a cocktail glass, and serve.",1 1/2 oz ,,,,,,,1 1/2 oz ,,,,,,,,Amaretto And Cream: A creamy and nutty cocktail that showcases the delicious flavor of amaretto liqueur.
Amaretto Liqueur,Http://www.thecocktaildb.com/images/media/drink/swqxuv1472719649.jpg,Collins Glass,Sugar,Food Coloring,Glycerine,,,,,Water,Apricot,Almond Flavoring,Grain Alcohol,Water,Brandy,Food Coloring,Food Coloring,"Combine sugar and 3/4 cup water in a small saucepan. Bring to a boil, stirring constantly. Reduce heat and simmer until all sugar is dissolved. Remove from heat and cool. In an aging container, combine apricot halves, almond extract, grain alcohol with 1/2 cup water, and brandy. Stir in cooled sugar syrup mixture. Cap and let age for 2 days. Remove apricot halves. (Save apricot halves, can be used for cooking). Add food coloring and glycerine. Stir, recap and continue aging for 1 to 2 months. Re-bottle as desired. Liqueur is ready to serve but will continue to improve with additional aging.",1 cup,2 drops blue ,1/2 tsp ,,,,,3/4 cup ,2 ,1 tblsp ,1/2 cup pure ,1/2 cup ,1 cup ,3 drops yellow ,6 drops red ,Amaretto Liqueur: A versatile liqueur that adds a hint of sweetness and nuttiness to your favorite cocktails.
Amaretto Mist,Http://www.thecocktaildb.com/images/media/drink/utpxxq1483388370.jpg,Old-fashioned Glass,Amaretto,,,,,,,Lime,,,,,,,,"Pour amaretto in an old-fashioned glass over crushed ice. Add the wedge of lime and serve. (A wedge of lemon may be substituted for lime, if preferred.)",1 1/2 oz ,,,,,,,1 ,,,,,,,,Amaretto Mist: A light and refreshing cocktail that showcases the delicate flavors of amaretto.
Amaretto Rose,Http://www.thecocktaildb.com/images/media/drink/3jm41q1493069578.jpg,Collins Glass,Amaretto,,,,,,,Lime Juice,Club Soda,,,,,,,Pour amaretto and lime juice over ice in a collins glass. Fill with club soda and serve.,1 1/2 oz ,,,,,,,1/2 oz ,,,,,,,,Amaretto Rose: A romantic and elegant cocktail that combines the floral notes of rose with the richness of amaretto.
Amaretto Shake,Http://www.thecocktaildb.com/images/media/drink/xk79al1493069655.jpg,Collins Glass,Chocolate Ice-cream,,,,,,,Brandy,Amaretto,,,,,,,Combine all ingredients in a blender and blend at high speed until smooth. Serve in chilled glass garnished with bittersweet chocolate shavings.,2 scoops ,,,,,,,2 oz ,2 oz ,,,,,,,Amaretto Shake: A creamy and indulgent shake that highlights the luscious flavor of amaretto.
Amaretto Sour,Http://www.thecocktaildb.com/images/media/drink/xnzc541493070211.jpg,Collins Glass,Amaretto,,,,,,,Sour Mix,,,,,,,,Shake and strain. Garnish with a cherry and an orange slice.,1 1/2 oz ,,,,,,,3 oz ,,,,,,,,"Amaretto Sour: A classic sour cocktail with a twist of amaretto, offering a perfect balance of sweet and sour."
Amaretto Stinger,Http://www.thecocktaildb.com/images/media/drink/vvop4w1493069934.jpg,Cocktail Glass,Amaretto,,,,,,,White Creme De Menthe,,,,,,,,"Shake ingredients well with cracked ice, strain into a cocktail glass, and serve.",1 1/2 oz ,,,,,,,3/4 oz ,,,,,,,,Amaretto Stinger: A sophisticated cocktail that pairs amaretto with a touch of mint for a refreshing finish.
Amaretto Stone Sour,Http://www.thecocktaildb.com/images/media/drink/xwryyx1472719921.jpg,Collins Glass,Amaretto,,,,,,,Sour Mix,Orange Juice,,,,,,,Shake and Serve over ice,1 part ,,,,,,,1 part ,1 part ,,,,,,,Amaretto Stone Sour: A delightful and tangy cocktail that combines the flavors of amaretto and citrus.
Amaretto Stone Sour #3,Http://www.thecocktaildb.com/images/media/drink/wutxqr1472720012.jpg,Highball Glass,Sour Mix,,,,,,,Amaretto,Tequila,Orange Juice,,,,,,"Shake sour mix, tequila and amaretto with ice. Strain into highball glass. Add a splash of OJ. Garnish with orange slice and a cherry.",2 oz ,,,,,,,2 oz ,2 oz ,Add splash ,,,,,,"Amaretto Stone Sour #3: A refreshing blend of amaretto liqueur, orange juice, and sour mix."
Amaretto Sunrise,Http://www.thecocktaildb.com/images/media/drink/akcpsh1493070267.jpg,Collins Glass,Amaretto,,,,,,,Orange Juice,Grenadine,,,,,,,Mix together the amaretto and orange juice. Pour into glass and then add the grenadine untill you see the sunrise.,1 cl ,,,,,,,4 oz ,1/4 cl ,,,,,,,"Amaretto Sunrise: A vibrant cocktail made with amaretto liqueur, orange juice, and grenadine, creating a beautiful sunrise effect."
Amaretto Sunset,Http://www.thecocktaildb.com/images/media/drink/apictz1493069760.jpg,Collins Glass,Triple Sec,,,,,,,Amaretto,Cider,Ice,,,,,,"Shake ingredients in bartender's mixer quickly, just 5 shakes. Strain out ice, serve in glass immediately with a slice of orange.",1/2 jigger ,,,,,,,3 shots ,1/2 cup ,Add 1/2 cup ,,,,,,"Amaretto Sunset: A delightful combination of amaretto liqueur, orange juice, and cranberry juice, resulting in a lovely sunset hue."
Amaretto Sweet & Sour,Http://www.thecocktaildb.com/images/media/drink/vswwus1472668546.jpg,Margarita/coupette Glass,Amaretto,,,,,,,Sweet And Sour,Midori Melon Liqueur,Pineapple Juice,,,,,,"Fill the blender with 3/4 ice. Add sweet & sour mix to the top of the ice. Add about 1"" of pineapple juice, 1/2"" of melon liqeur, and 1/2 to 1/4"" of amaretto. Then blend the mix until it is of margaritta consistency or thinner.",,,,,,,,,,,,,,,,"Amaretto Sweet & Sour: A balanced mix of amaretto liqueur and sweet and sour mix, offering a tangy and sweet flavor profile."
Amaretto Tea,Http://www.thecocktaildb.com/images/media/drink/b7qzo21493070167.jpg,Pousse Cafe Glass,Tea,,,,,,,Amaretto,Whipped Cream,,,,,,,"Pour hot tea into a pousse-cafe glass, using a spoon in glass to prevent cracking. Add amaretto, but do not stir. Top with chilled whipped cream and serve.",6 oz hot ,,,,,,,2 oz ,Chilled ,,,,,,,"Amaretto Tea: A warm and soothing beverage that combines amaretto liqueur with hot tea, perfect for relaxation and comfort."
Americano,Http://www.thecocktaildb.com/images/media/drink/trwruu1478253126.jpg,Collins Glass,Campari,,,,,,,Sweet Vermouth,Lemon Peel,Orange Peel,,,,,,"Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice.",1 oz ,,,,,,,1 oz red ,Twist of ,Twist of ,,,,,,"Americano: A classic cocktail made with Campari, sweet vermouth, and club soda, known for its bittersweet taste."
Angel Face,Http://www.thecocktaildb.com/images/media/drink/vqpptp1478253178.jpg,Cocktail Glass,Apricot Brandy,,,,,,,Apple Brandy,Gin,,,,,,,Shake all ingredients with ice and strain contents into a cocktail glass.,1/2 oz ,,,,,,,1/2 oz ,1 oz ,,,,,,,"Angel Face: A sophisticated blend of gin, apricot brandy, and apple brandy, creating a heavenly and aromatic cocktail."
Angelica Liqueur,Http://www.thecocktaildb.com/images/media/drink/yuurps1472667672.jpg,Collins Glass,Angelica Root,Water,Food Coloring,Food Coloring,,,,Almond,Allspice,Cinnamon,Anise,Coriander,Marjoram Leaves,Vodka,Sugar,"Combine all herbs, nuts and spices with vodka in a 1 quart or larger aging container. Cap tightly and shake daily for 2 weeks. Strain through a fine muslin cloth or coffee filter, discarding solids. Clean out aging container. Place liquid back in container. Place sugar and water in saucepan and stir to combine over medium heat. When sugar is completely dissolved, set aside and let cool. When cool combine with food coloring and add to liqueur liquid. Cap and allow to age and mellow in a cool, dark place for one month.",3 tblsp chopped,1/4 cup ,1 drop yellow ,1 drop green ,,,,1 tblsp chopped ,1 cracked ,1 one-inch ,3-6 crushed ,1/8 tsp powdered ,1 tblsp fresh chopped ,1.5 cup ,1/2 cup granulated ,"Angelica Liqueur: A unique liqueur made from the Angelica herb, featuring a herbal and floral flavor profile."
Apello,Http://www.thecocktaildb.com/images/media/drink/uptxtv1468876415.jpg,Collins Glass,Orange Juice,,,,,,,Grapefruit Juice,Apple Juice,Maraschino Cherry,,,,,,Stirr. Grnish with maraschino cherry.,4 cl ,,,,,,,3 cl ,1 cl ,1 ,,,,,,"Apello: A refreshing and fruity cocktail that combines vodka, orange juice, and passion fruit juice, providing a tropical taste."
Apple Berry Smoothie,Http://www.thecocktaildb.com/images/media/drink/xwqvur1468876473.jpg,Highball Glass,Berries,,,,,,,Apple,,,,,,,,Throw everything into a blender and liquify.,1 cup ,,,,,,,2 ,,,,,,,,"Apple Berry Smoothie: A luscious and creamy smoothie made with apples, mixed berries, and yogurt, offering a healthy and fruity treat."
Apple Cider Punch #1,Http://www.thecocktaildb.com/images/media/drink/xrqxuv1454513218.jpg,Collins Glass,Apple Cider,,,,,,,Brown Sugar,Lemonade,Orange Juice,Cloves,Allspice,Nutmeg,Cinnamon,,"If you use the whole all spice and cloves, tie them in cheesecloth. Heat the mixture. Stir occasionally. If you want an alcoholic drink, rum would be nice.",4 qt ,,,,,,,1 cup ,6 oz frozen ,6 oz frozen ,6 whole ,6 whole ,1 tsp ground ,3 sticks ,,"Apple Cider Punch #1: A seasonal punch featuring apple cider, ginger ale, and a splash of lemon juice, perfect for autumn gatherings."
Apple Grande,Http://www.thecocktaildb.com/images/media/drink/wqrptx1472668622.jpg,Punch Bowl,Tequila,,,,,,,Apple Cider,,,,,,,,Chill both ingredients!! Mix in a tumbler and enjoy!,3 oz ,,,,,,,12 oz ,,,,,,,,"Apple Grande: An indulgent cocktail made with apple brandy, Grand Marnier, and lemon juice, delivering a rich and citrusy taste."
Apple Karate,Http://www.thecocktaildb.com/images/media/drink/syusvw1468876634.jpg,Highball Glass,Apple Juice,,,,,,,Carrot,,,,,,,,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",2 cups ,,,,,,,1 large ,,,,,,,,"Apple Karate: A zesty blend of apple brandy, lime juice, and orange liqueur, providing a vibrant and energizing kick."
Apple Pie With A Crust,Http://www.thecocktaildb.com/images/media/drink/qspqxt1472720078.jpg,Collins Glass,Apple Juice,,,,,,,Malibu Rum,Cinnamon,,,,,,,Just mix the two liquids and sprinkle in the cinnamon. Serve either cold or heated.,3 parts ,,,,,,,1 part ,3 dashes ,,,,,,,"Apple Pie with A Crust: A dessert-inspired cocktail that combines apple schnapps, cinnamon schnapps, and vanilla vodka, reminiscent of freshly baked apple pie."
Apple Slammer,Http://www.thecocktaildb.com/images/media/drink/09yd5f1493069852.jpg,Shot Glass,7-up,,,,,,,Apple Schnapps,,,,,,,,"pour into a shot glass and present to consumer, they are expected to cover the top of the shotglass with thier palm, raise the glass, slam it on the bar and the swallow quickly.",1 part ,,,,,,,1 part ,,,,,,,,"Apple Slammer: A fun and fizzy concoction made with apple schnapps, vodka, and lemon-lime soda, creating a vibrant and invigorating drink."
Applecar,Http://www.thecocktaildb.com/images/media/drink/sbffau1504389764.jpg,Cocktail Glass,Applejack,,,,,,,Triple Sec,Lemon Juice,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",1 oz ,,,,,,,1 oz ,1 oz ,,,,,,,"Applecar: A sophisticated cocktail featuring apple brandy, lemon juice, and simple syrup, offering a balanced and refreshing taste."
Applejack,Http://www.thecocktaildb.com/images/media/drink/sutyqp1479209062.jpg,Cocktail Glass,Jack Daniels,,,,,,,Midori Melon Liqueur,Sour Mix,,,,,,,"Add all ingredients into mixing glass, chill and strain into cocktail glass",1 oz ,,,,,,,1/2 oz ,2 oz ,,,,,,,"Applejack: A classic cocktail made with apple brandy, grenadine, and lemon juice, known for its fruity and tangy flavor."
Apricot Lady,Http://www.thecocktaildb.com/images/media/drink/146f251504389814.jpg,Old-fashioned Glass,Light Rum,,,,,,,Apricot Brandy,Triple Sec,Lemon Juice,Egg White,Orange,,,,"In a shaker half-filled with ice cubes, combine the rum, apricot brandy, triple sec, lemon juice, and egg white. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. Garnish with the orange slice.",1 1/2 oz ,,,,,,,1 oz ,1 tsp ,1/2 oz ,1 ,1 ,,,,"Apricot Lady: A delightful blend of apricot brandy, gin, and lemon juice, creating a sweet and citrusy cocktail."
Apricot Punch,Http://www.thecocktaildb.com/images/media/drink/tuxxtp1472668667.jpg,Punch Bowl,Apricot Brandy,,,,,,,Champagne,Vodka,7-up,Orange Juice,,,,,Pour all ingrediants into a large punch bowl. Add ice and 4 oranges that are peeled and divided.,1 qt ,,,,,,,4 fifth ,1 fifth ,4 L ,1/2 gal ,,,,,"Apricot Punch: A fruity and refreshing punch that combines apricot brandy, orange juice, and lemon-lime soda, perfect for parties and gatherings."
Archbishop,Http://www.thecocktaildb.com/images/media/drink/xpqwrt1441207307.jpg,Old-fashioned Glass,Gin,,,,,,,Wine,Benedictine,Lime,,,,,,"In an old-fashioned glass almost filled with ice cubes, combine all of the ingredients. Stir well.",2 oz ,,,,,,,1 oz Green Ginger ,1 tsp ,1 ,,,,,,"Archbishop: A warm and aromatic cocktail made with red wine, orange juice, and spices, often enjoyed during the colder months."
Arctic Fish,Http://www.thecocktaildb.com/images/media/drink/ttsvwy1472668781.jpg,Beer Pilsner,Vodka,,,,,,,Grape Soda,Orange Juice,Ice,Candy,,,,,"Fill glass with ice and fish, add vodka, grape soda and orange juice. DO NOT STIR!!!!! Serve well chilled.",1/3 part ,,,,,,,1/3 part ,1/3 part ,lots ,1 dash ,,,,,"Arctic Fish: A vibrant blue cocktail made with blue curaçao, vodka, and lemon-lime soda, providing a cool and refreshing taste."
Arctic Mouthwash,Http://www.thecocktaildb.com/images/media/drink/wqstwv1478963735.jpg,Cocktail Glass,Maui,,,,,,,Mountain Dew,Ice,,,,,,,Blend all ingredients in a blender on high until ice is finely crushed. It should be of a slushy consistency. Pour immediately and serve.,5 oz blue ,,,,,,,5 oz ," cubes
",,,,,,,"Arctic Mouthwash: A refreshing blend of peppermint schnapps, blue curaçao, and lemon-lime soda, reminiscent of a breath-freshening experience."
